execution,response,order,dbms
0.017,0.197,0,mysql
0.017,0.192,0,mysql
0.017,0.185,0,mysql
0.018,0.194,0,mysql
0.016,0.185,0,mysql
0.016,0.184,0,mysql
0.016,0.183,0,mysql
0.016,0.181,0,mysql
0.017,0.183,0,mysql
0.017,0.183,0,mysql
0.015,0.047,0,postgre
0.014,0.046,0,postgre
0.015,0.046,0,postgre
0.014,0.046,0,postgre
0.016,0.048,0,postgre
0.015,0.046,0,postgre
0.015,0.046,0,postgre
0.014,0.046,0,postgre
0.015,0.045,0,postgre
0.015,0.046,0,postgre
0.066,0.356,0,mariadb
0.065,0.355,0,mariadb
0.067,0.356,0,mariadb
0.066,0.356,0,mariadb
0.066,0.378,0,mariadb
0.066,0.354,0,mariadb
0.067,0.357,0,mariadb
0.067,0.356,0,mariadb
0.066,0.356,0,mariadb
0.067,0.357,0,mariadb
0.098,0.067,0,duckdb
0.06,0.064,0,duckdb
0.058,0.062,0,duckdb
0.06,0.065,0,duckdb
0.081,0.065,0,duckdb
0.059,0.063,0,duckdb
0.059,0.063,0,duckdb
0.061,0.065,0,duckdb
0.061,0.064,0,duckdb
0.06,0.063,0,duckdb
0.016,0.02,1,mysql
0.017,0.02,1,mysql
0.016,0.019,1,mysql
0.017,0.02,1,mysql
0.016,0.019,1,mysql
0.015,0.019,1,mysql
0.016,0.02,1,mysql
0.016,0.019,1,mysql
0.015,0.019,1,mysql
0.015,0.019,1,mysql
0.015,0.027,1,postgre
0.015,0.027,1,postgre
0.015,0.027,1,postgre
0.015,0.028,1,postgre
0.014,0.027,1,postgre
0.015,0.026,1,postgre
0.015,0.026,1,postgre
0.014,0.027,1,postgre
0.015,0.026,1,postgre
0.014,0.026,1,postgre
0.066,0.31,1,mariadb
0.066,0.31,1,mariadb
0.067,0.312,1,mariadb
0.067,0.313,1,mariadb
0.065,0.31,1,mariadb
0.065,0.311,1,mariadb
0.065,0.312,1,mariadb
0.076,0.325,1,mariadb
0.066,0.31,1,mariadb
0.066,0.31,1,mariadb
0.064,0.063,1,duckdb
0.107,0.067,1,duckdb
0.065,0.064,1,duckdb
0.075,0.065,1,duckdb
0.071,0.064,1,duckdb
0.101,0.065,1,duckdb
0.065,0.063,1,duckdb
0.077,0.064,1,duckdb
0.062,0.062,1,duckdb
0.07,0.065,1,duckdb
